predator,replication,predator_sex,treatment,eggs_start,eggs_end,eggs_eaten,Pconsumed,handling_total,handling_avg,attack_total,attack_avg
Grasshopper,7,Female,1,26,26,0,0,0,0,0.00E+00,0.00E+00
Grasshopper,7,Female,2,52,34,18,0.346153846,524,262,4.94E-06,5.93E-06
Grasshopper,7,Female,3,78,28,50,0.641025641,1152,576,1.22E-05,1.20E-05
Grasshopper,7,Female,4,104,52,52,0.5,1244,311,8.26E-06,8.08E-06
Grasshopper,8,Female,1,26,4,22,0.846153846,493,493,2.18E-04,2.18E-04
Grasshopper,8,Female,2,52,50,2,0.038461538,28,28,4.54E-07,4.54E-07
Grasshopper,8,Female,3,78,49,29,0.371794872,852,284,5.44E-06,5.40E-06
Grasshopper,8,Female,4,104,60,44,0.423076923,941,235.25,6.49E-06,6.40E-06
Grasshopper,9,Female,1,26,26,0,0,0,0,0.00E+00,0.00E+00
Grasshopper,9,Female,2,52,5,47,0.903846154,964,482,2.77E-05,2.74E-05
Grasshopper,9,Female,3,78,78,0,0,0,0,0.00E+00,0.00E+00
Grasshopper,9,Female,4,104,83,21,0.201923077,459,404,2.62E-06,2.61E-06
Grasshopper,10,Female,1,26,26,0,0,0,0,0.00E+00,0.00E+00
Grasshopper,10,Female,2,52,52,0,0,0,0,0.00E+00,
Grasshopper,10,Female,3,78,78,0,0,0,0,0.00E+00,0.00E+00
Grasshopper,10,Female,4,104,78,26,0.25,920,230,3.37E-06,3.34E-06
Grasshopper,1,Male,1,26,26,0,0,0,0,0.00E+00,0.00E+00
Grasshopper,1,Male,2,52,52,0,0,0,0,0.00E+00,0.00E+00
Grasshopper,1,Male,3,78,52,26,0.333333333,650,650,4.70E-06,4.70E-06
Grasshopper,1,Male,4,104,92,12,0.115384615,317,317,1.40E-06,1.40E-06
Grasshopper,2,Male,1,26,26,0,0,0,0,0.00E+00,0.00E+00
Grasshopper,2,Male,2,52,51,1,0.019230769,18,18,2.25E-07,2.25E-07
Grasshopper,2,Male,3,78,78,0,0,0,0,0.00E+00,0.00E+00
Grasshopper,2,Male,4,104,104,0,0,0,0,0.00E+00,0.00E+00
Grasshopper,3,Male,1,26,26,0,0,0,0,0.00E+00,0.00E+00
Grasshopper,3,Male,2,52,39,13,0.25,291,291,3.34E-06,3.34E-06
Grasshopper,3,Male,3,78,66,12,0.153846154,450,450,1.90E-06,1.90E-06
Grasshopper,3,Male,4,104,93,11,0.105769231,336,84,1.30E-06,1.29E-06
Grasshopper,4,Male,1,26,26,0,0,0,0,0.00E+00,0.00E+00
Grasshopper,4,Male,2,52,52,0,0,0,0,0.00E+00,0.00E+00
Grasshopper,4,Male,3,78,78,0,0,0,0,0.00E+00,0.00E+00
Grasshopper,4,Male,4,104,104,0,0,0,0,0.00E+00,0.00E+00
Grasshopper,5,Male,1,26,26,0,0,0,0,0.00E+00,0.00E+00
Grasshopper,5,Male,2,52,51,1,0.019230769,184,184,2.25E-07,2.25E-07
Grasshopper,5,Male,3,78,78,0,0,0,0,0.00E+00,0.00E+00
Grasshopper,5,Male,4,104,103,1,0.009615385,103,103,1.00E-07,1.00E-07
Grasshopper,6,Male,1,26,10,16,0.615384615,818,818,1.11E-05,1.11E-05
Grasshopper,6,Male,2,52,29,23,0.442307692,892,892,6.82E-06,6.82E-06
Grasshopper,6,Male,3,78,78,0,0,0,0,0.00E+00,0.00E+00
Grasshopper,6,Male,4,104,101,3,0.028846154,89,89,3.00E-07,3.00E-07
Grasshopper,7,Male,1,26,6,20,0.769230769,843,843,1.71E-05,1.71E-05
Grasshopper,7,Male,2,52,25,27,0.519230769,1875,1875,8.67E-06,8.67E-06
Grasshopper,7,Male,3,78,58,20,0.256410256,470,157,3.40E-06,3.43E-06
Grasshopper,7,Male,4,104,104,0,0,0,0,0.00E+00,0.00E+00
Grasshopper,8,Male,1,26,26,0,0,0,0,0.00E+00,0.00E+00
Grasshopper,8,Male,2,52,52,0,0,0,0,0.00E+00,0.00E+00
Grasshopper,8,Male,3,78,49,29,0.371794872,1380,460,5.50E-06,5.41E-06
Grasshopper,8,Male,4,104,93,11,0.105769231,399,99.75,1.30E-06,1.29E-06
Grasshopper,9,Male,1,26,15,11,0.423076923,350,350,6.38E-06,6.38E-06
Grasshopper,9,Male,2,52,52,0,0,0,0,0.00E+00,0.00E+00
Grasshopper,9,Male,3,78,54,24,0.307692308,968,322.6,4.30E-06,4.27E-06
Grasshopper,9,Male,4,104,70,34,0.326923077,1549,387.25,4.70E-06,4.61E-06
Grasshopper,10,Male,1,26,26,0,0,0,0,0.00E+00,0.00E+00
Grasshopper,10,Male,2,52,38,14,0.269230769,579,579,3.64E-06,3.64E-06
Grasshopper,10,Male,3,78,52,26,0.333333333,1254,1254,4.80E-06,4.80E-06
Grasshopper,10,Male,4,104,86,18,0.173076923,0,0,0.00E+00,0.00E+00
