predator,replication,predator_sex,treatment,eggs_start,eggs_end,eggs_eaten,Pconsumed,handling_total,handling_avg,attack_total,attack_avg
Cricket,2,Male,1,26,1,25,0.961538462,1637,1637,3.84E-05,3.84E-05
Cricket,2,Male,2,52,8,44,0.846153846,3387,1693,0.000023204,2.24E-05
Cricket,2,Male,3,78,78,0,0,0,0,0,0
Cricket,2,Male,4,104,54,50,0.480769231,6788,1697,0.0000089,7.88E-06
Cricket,3,Male,1,26,0,26,1,3647,3647,8.54E-05,8.54E-05
Cricket,3,Male,2,52,5,47,0.903846154,3967,1984,0.000029557,2.83E-05
Cricket,3,Male,3,78,22,56,0.717948718,2151,717,0.0000155,1.49E-05
Cricket,3,Male,4,104,52,52,0.5,3959,1107,0.0000088,8.23E-06
Cricket,4,Male,1,26,0,26,1,1658,1658,8.38E-05,8.38E-05
Cricket,4,Male,2,52,0,52,1,2156,1078,9.55691E-05,
Cricket,4,Male,3,78,29,49,0.628205128,NA,NA,NA,NA
Cricket,4,Male,4,104,51,53,0.509615385,1932,483,0.0000086,8.34E-06
Cricket,5,Male,1,26,7,19,0.730769231,NA,NA,NA,NA
Cricket,5,Male,2,52,4,48,0.923076923,1558,779,0.000030709,3.02E-05
Cricket,5,Male,3,78,35,43,0.551282051,2255,752,0.0000097,9.41E-06
Cricket,5,Male,4,104,34,70,0.673076923,1390,347,0.0000135,1.31E-05
Cricket,6,Male,1,26,0,26,1,1246,1246,8.34E-05,8.34E-05
Cricket,6,Male,2,52,0,52,1,2104,1052,0.000095581,
Cricket,6,Male,3,78,31,47,0.602564103,1560,401,0.000011,1.08E-05
Cricket,6,Male,4,104,8,96,0.923076923,4237,1059,0.0000363,3.11E-05
Cricket,7,Male,1,26,0,26,1,1158,1158,8.34E-05,8.34E-05
Cricket,7,Male,2,52,35,17,0.326923077,73,37,0.000004585,4.58E-06
Cricket,7,Male,3,78,36,42,0.538461538,957,319,0.0000091,8.96E-06
Cricket,7,Male,4,104,16,88,0.846153846,4586,1146,0.0000264,2.27E-05
Cricket,8,Male,1,26,0,26,1,1588,1588,8.37E-05,8.37E-05
Cricket,8,Male,2,52,18,34,0.653846154,1702,851,0.000012603,1.24E-05
Cricket,8,Male,3,78,31,47,0.602564103,1406,469,0.000011,1.08E-05
Cricket,8,Male,4,104,29,75,0.721153846,1627,407,0.0000156,1.50E-05
Cricket,9,Male,1,26,0,26,1,1510,1510,8.36E-05,8.36E-05
Cricket,9,Male,2,52,0,52,1,2407,1203,0.000096227,
Cricket,9,Male,3,78,15,63,0.807692308,4187,1396,0.0000216,1.99E-05
Cricket,9,Male,4,104,52,52,0.5,3624,906,0.0000088,8.19E-06
Cricket,10,Male,1,26,0,26,1,1971,1971,8.40E-05,8.40E-05
Cricket,10,Male,2,52,5,47,0.903846154,1616,808,0.000028053,2.76E-05
Cricket,10,Male,3,78,11,67,0.858974359,2718,906,0.0000246,2.33E-05
Cricket,10,Male,4,104,42,62,0.596153846,2586,646,0.0000113,1.07E-05
